time(sec),sum-all,sum-rcv,sum-trans,rcv-bytes,rcv-packets,rcv-errs,rcv-drop,rcv-fifo,rcv-frame,rcv-compressed,rcv-multicast,trans-bytes,trans-packets,trans-errs,trans-drop,trans-fifo,trans-colls,trans-carrier,trans-compressed
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.021,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
4.026,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
5.033,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
6.040,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
7.047,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
8.054,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
9.061,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
10.068,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
11.074,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
12.081,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
13.088,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
14.095,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
15.102,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
16.109,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
17.115,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
18.122,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
19.129,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
20.136,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
21.143,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
22.148,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
23.154,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
24.160,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
25.166,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
26.173,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
27.180,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
28.187,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
29.194,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
30.200,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
31.207,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
32.214,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
33.220,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
34.227,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
35.234,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
36.241,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
37.248,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
38.255,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
39.261,86,43,43,42,1,0,0,0,0,0,0,42,1,0,0,0,0,0,0
